Country,Python,JavaScript,Java,C#,PHP,C++,C,TypeScript,Ruby,Swift
USA,2500,3000,1200,800,500,600,400,1000,400,600
India,3500,4000,2500,500,800,700,600,1200,200,200
China,1500,2500,3000,1000,300,900,1500,500,100,200
UK,2000,2800,1000,1200,700,600,500,1100,600,500
Germany,1800,2600,1100,900,600,800,400,900,400,300
Brazil,2700,3500,1000,600,1000,500,300,800,300,200
Japan,1300,2000,1500,1300,400,1200,900,600,200,400
Russia,1700,2200,1700,1100,600,1000,800,700,300,200
Australia,2200,2900,800,700,500,400,300,1000,500,600
Canada,2400,3100,900,800,600,500,400,1100,400,500
Spain,1800,2300,1100,900,700,800,500,1000,300,400
South Korea,2100,2400,1300,1100,900,1000,700,1200,400,500
North Korea,500,600,300,200,100,150,100,150,50,100
United Arab Emirates,1500,1800,1000,800,600,700,400,800,200,300
Saudi Arabia,1400,1500,900,700,500,600,350,700,150,200
Indonesia,1700,2100,1200,1000,800,900,600,1000,300,400
Taiwan,1600,2000,1100,900,700,800,500,900,250,350
New Zealand,1500,1900,1000,800,600,700,400,800,200,300
South Africa,1400,1600,900,700,500,600,300,700,150,250
Nigeria,1000,1300,800,600,400,500,200,600,100,200
Egypt,900,1100,600,500,300,400,150,500,80,150
Morocco,800,1000,500,400,200,300,100,400,60,100
Iraq,750,950,450,350,150,250,80,350,50,80
Iran,700,900,400,300,100,200,70,300,40,70
Pakistan,1600,1800,1100,800,600,700,400,800,200,300
Sudan,450,200,150,100,60,75,35,50,20,10
Norway,700,800,600,500,300,450,250,400,200,150
France,850,900,800,700,500,600,400,600,300,200
Ukraine,700,750,650,550,400,500,350,500,250,150
Algeria,300,250,200,150,80,100,50,70,40,20
Libya,200,180,160,120,60,80,30,50,30,15
Greenland,500,700,300,200,100,150,600,800,500,200
Argentina,650,700,600,450,350,400,200,300,250,100
Kazakhstan,500,550,400,300,200,250,180,250,150,80
Mongolia,100,120,80,60,40,50,20,30,20,10
Finland,750,800,700,600,400,550,350,500,300,250
Poland,800,850,750,650,500,600,400,550,350,300
Sweden,820,870,780,670,520,620,420,570,370,320
Italy,700,750,650,550,300,450,300,500,250,150
Turkey,600,650,550,450,250,350,250,400,200,100
